SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,LATITUDE,LONGITUDE
PAST SALE,November-19-2019,Single Family Residential,469 Canterbury Rd,Bay Village,OH,44140,180000,3,1,Elmwood Beach,1056,6534,1940,441,170,0,Sold,41.4820578,-81.9108281
PAST SALE,July-13-2020,Single Family Residential,2161 Richland Ave,Lakewood,OH,44107,220000,3,2,Rich Land Heights,1392,5227,1919,204,158,0,Sold,41.4725858,-81.7906419
PAST SALE,January-8-2020,Single Family Residential,22503 Sandy Ln,Fairview Park,OH,44126,215000,3,2,Wonneta Pkwy 02,1776,10018,1964,391,121,0,Sold,41.431656,-81.8698351
PAST SALE,September-6-2019,Single Family Residential,1616 Belle Ave,Lakewood,OH,44107,280000,4,2.5,Belle Ave Allotment,2500,7405,1912,515,112,0,Sold,41.4793579,-81.7973905
PAST SALE,June-4-2019,Single Family Residential,2868 Wooster Rd,Rocky River,OH,44116,223500,3,1.5,Gemay,1440,9147,1912,609,155,0,Sold,41.4670729,-81.8381147
PAST SALE,August-25-2020,Single Family Residential,4755 Westview Dr,North Olmsted,OH,44070,225000,4,2,Columbia Land Dev Co,2022,10890,1984,161,111,0,Sold,41.420324,-81.8980763
PAST SALE,November-3-2020,Single Family Residential,3954 W 158th St,Cleveland,OH,44111,181000,3,1.5,Manor Realty Cos Riverside Mn,1190,5227,1927,91,152,0,Sold,41.4471353,-81.8083664
PAST SALE,May-21-2019,Single Family Residential,3764 Greenbriar Cir,Westlake,OH,44145,408000,4,3,Primrose Estates,2866,14810,1998,623,142,15,Sold,41.4348474,-81.9199535
PAST SALE,June-5-2019,Single Family Residential,3228 Regency Pl,Westlake,OH,44145,675000,4,4,The Estates,4608,22215,1999,608,146,83,Sold,41.4410785,-81.9414192
PAST SALE,May-23-2019,Single Family Residential,2360 Valley View Dr,Rocky River,OH,44116,500000,5,2.5,Rocky River,2986,8276,1930,621,167,0,Sold,41.4729035,-81.8271327
PAST SALE,July-30-2019,Single Family Residential,1367 Giel Ave,Lakewood,OH,44107,224000,4,1.5,Theodore Kundtz,1967,6098,1905,553,114,0,Sold,41.4863611,-81.78731
PAST SALE,April-16-2019,Single Family Residential,1842 Bur Oak Dr,Westlake,OH,44145,970000,6,5.5,Bur Oak Estates,5045,22651,2017,658,192,33,Sold,41.4625954,-81.9668202
PAST SALE,September-25-2019,Single Family Residential,1301 Clague Rd,Westlake,OH,44145,210000,3,3,Kroehle Companys Melrose Sub,1580,11325,1951,496,133,0,Sold,41.4682255,-81.8821226
PAST SALE,March-15-2019,Single Family Residential,23920 Lake Rd,Bay Village,OH,44140,1000000,4,2,Bay Village,2888,90169,1969,690,346,0,Sold,41.4840064,-81.8845543
PAST SALE,July-29-2020,Single Family Residential,3564 W 99th St,Cleveland,OH,44102,125430,3,2,Denison,1248,4356,1923,188,101,0,Sold,41.4563416,-81.7525731
PAST SALE,August-31-2020,Single Family Residential,1356 Warren Rd,Lakewood,OH,44107,202750,4,1,Lakewood Park,1613,4791,1907,155,126,0,Sold,41.4863579,-81.7997396
PAST SALE,November-5-2020,Single Family Residential,1815 W 50th St,Cleveland,OH,44102,245300,2,2,Benedict & Root,1202,3920,1910,89,204,0,Sold,41.4825973,-81.720941
PAST SALE,August-7-2020,Single Family Residential,402 Columbia Rd,Bay Village,OH,44140,290000,4,3,Frst Beach Park,1906,8276,1976,179,152,0,Sold,41.4837074,-81.9017443
PAST SALE,June-25-2019,Single Family Residential,1296 French Ave,Lakewood,OH,44107,206500,3,2,Lakewood,1185,5227,1950,588,174,0,Sold,41.4879829,-81.8040104
PAST SALE,October-29-2020,Single Family Residential,3610 Bradfords Gate,Rocky River,OH,44116,510000,4,2.5,Christensen Estates 02,2735,11325,1978,96,186,0,Sold,41.4542564,-81.8614716
PAST SALE,July-1-2020,Single Family Residential,3179 W 160th St,Cleveland,OH,44111,176000,2,2,Xanthia Estates Sub #2,1412,3920,1941,216,125,0,Sold,41.4664153,-81.8096902
PAST SALE,June-12-2019,Single Family Residential,15312 Edolyn Ave,Cleveland,OH,44111,165000,3,1.5,Smith,1309,7840,1940,601,126,0,Sold,41.4552578,-81.8035406
PAST SALE,April-26-2019,Single Family Residential,27665 Bryandale Dr,Westlake,OH,44145,295000,4,2.5,Woods Westlake Condo,2472,14810,1977,648,119,0,Sold,41.4730509,-81.9295893
PAST SALE,August-18-2020,Single Family Residential,4802 Autumn Ln,Brooklyn,OH,44144,177000,3,1.5,Southwood,1260,6969,1964,168,140,0,Sold,41.4265771,-81.7505431
PAST SALE,December-23-2019,Single Family Residential,4015 Woodbine Ave,Cleveland,OH,44113,330000,3,2.5,M W Seymours,2172,3484,1900,407,152,0,Sold,41.4839891,-81.714955
PAST SALE,July-9-2019,Single Family Residential,3174 W 165th St,Cleveland,OH,44111,230000,3,1,Pilgrimhts,1491,10018,1923,574,154,0,Sold,41.466398,-81.812167
PAST SALE,May-30-2019,Single Family Residential,19438 Laurel Ave,Rocky River,OH,44116,389900,4,3.5,Riverwood Park Sub,2134,6969,1930,614,183,0,Sold,41.4739676,-81.8377412
PAST SALE,June-11-2019,Single Family Residential,29786 Washington Way,Westlake,OH,44145,370000,4,2.5,Westpark Ridge,2794,16552,1992,602,132,0,Sold,41.4387757,-81.9526855
PAST SALE,October-18-2019,Single Family Residential,2289 Mckinley Ave,Lakewood,OH,44107,205000,4,2,Indian Heights Allotment,1608,4356,1928,473,127,0,Sold,41.4695068,-81.8160101
PAST SALE,October-14-2020,Single Family Residential,16708 Larchwood Ave,Cleveland,OH,44135,175000,3,1.5,Atzberger & Mcmahon,1637,6098,1920,111,107,0,Sold,41.4443928,-81.8140052
PAST SALE,November-16-2020,Single Family Residential,4675 W 150th St,Cleveland,OH,44135,101000,3,1,S H Kleinmans Realty Cos Gle,1044,4791,1944,78,97,0,Sold,41.4272333,-81.801149
PAST SALE,December-28-2020,Single Family Residential,24107 Beech Ln,North Olmsted,OH,44070,200500,3,1.5,Beech Lane Sub,1440,13939,1960,36,139,0,Sold,41.4433082,-81.8884363
PAST SALE,May-15-2020,Single Family Residential,1214 Cook Ave,Lakewood,OH,44107,265000,3,1.5,Lakewood Realty Cos Lakewood,1887,4791,1914,263,140,0,Sold,41.4902319,-81.8007219
PAST SALE,June-18-2019,Single Family Residential,5302 Franklin Blvd,Cleveland,OH,44102,220000,2,1,James M Hoyt & James Wade Jrs,1448,3049,1920,595,152,0,Sold,41.4838957,-81.7233352
PAST SALE,April-29-2020,Single Family Residential,16300 Ernadale Ave,Cleveland,OH,44111,185000,3,2,Rosewd Manor,1267,5662,1925,279,146,0,Sold,41.456742,-81.8112702
PAST SALE,October-13-2020,Single Family Residential,5900 Breakwater Ave,Cleveland,OH,44102,397400,2,2.5,Breakwater Bluffs Loff Twnhms,1873,1306,2017,112,212,155,Sold,41.488863,-81.727213
